,tweet,time,id,likes,location
0,Why is everyone giving birth this episode the surround sound has my house sounding like a damn labour unit #HouseOfTheDragon,2022-09-26 22:30:08+00:00,1342791749635334146,0,
1,There is something deeply unsettling about the #HouseOfTheDragon opening credits. Its seriously just rivers  of blood flowing from the top of a stone castle(temple) like some mayan blood sacrifice shit. Also weird to know 10s of millions of americans are watching this,2022-09-26 22:30:01+00:00,388005079,0,
2,"#HouseOfTheDragon the women take centre stage and they are amazing, in all their scheming yet vulnerable glory.",2022-09-26 22:30:01+00:00,456040349,0,
3,Girl that is yo Uncle #HouseOfTheDragon https://t.co/jC5ruVU2Xy,2022-09-26 22:29:58+00:00,58581073,0,
4,ONE ARM????😭 howww #KingViserys #Laenor #RhaenyraTargaryen #HouseOfTheDragon #HouseTargaryen https://t.co/94lMppbcFn,2022-09-26 22:29:50+00:00,1213538507689361408,0,
5,#HouseOfTheDragon catch up.,2022-09-26 22:29:49+00:00,159147023,0,
6,"in a world full of cristons, be a harwin #HouseOfTheDragon https://t.co/zn0kL3Xqia",2022-09-26 22:29:48+00:00,1183226664911851521,0,
7,I've just watched episode S01 | E06 of House of the Dragon! #houseofthedragon  https://t.co/jBnvlk6Yzl #tvtime https://t.co/hQ0PibseLA,2022-09-26 22:29:09+00:00,1898247320,0,
8,What type is of rubbing dragon is that ; why would you kill her ?#HouseoftheDragon,2022-09-26 22:28:57+00:00,999405753046880256,0,
9,Like all the stuff at kingslanding ate but all the Daemon stuff in Pentos felt off. This could have been two episodes. We could had actually gotten to see the development Laena and Harwin had. #HouseOfTheDragon,2022-09-26 22:28:30+00:00,4844047200,1,
10,Alicent has literally ALWAYS been jealous of Rhaenyra. Everything she does is because of her jealously and bitterness. #HouseOfTheDragon,2022-09-26 22:28:23+00:00,1570765041305092096,0,{'place_id': '703fafc32e631b51'}
11,I just find it very odd that the show runners decided to downplay Daemon’s love for Laena and his daughters for some ship angst… and we didn’t even get to see Laena and Vhagar choose each other??? #HouseOfTheDragon https://t.co/VtPwr3uGL4,2022-09-26 22:28:09+00:00,1619413172,0,
12,I've just watched episode S01 | E06 of House of the Dragon! #houseofthedragon https://t.co/RtVlzfgNuz #tvtime https://t.co/x6uQjvhh5N,2022-09-26 22:27:59+00:00,2385441851,0,
13,Poor Egon. Caught by his mum… 🤣 #HOTD #HouseOfTheDragon,2022-09-26 22:27:58+00:00,345714138,2,{'place_id': '0239f5fd632185d5'}
14,Another 🔥 episode of #HouseOfTheDragon,2022-09-26 22:27:58+00:00,1519958533,0,
15,"I thought the actor change would really throw me off but nope, everyone is cast perfectly #HouseOfTheDragon",2022-09-26 22:27:50+00:00,1193005530127708160,0,
16,@clintw Every episode of #HouseOfTheDragon has a new meme 😂,2022-09-26 22:27:30+00:00,46400268,0,
17,"A 10 year-time skip on #HouseOfTheDragon means new actors, characters, and political intrigue https://t.co/GkOqsbYDcG

🔥@KyleDAnderson 
🔥@burgermike 
🔥@vorpahlsword https://t.co/3dOE3c61qx",2022-09-26 22:27:29+00:00,394216985,3,
18,"Queen Alicent Hightower and King Viserys Targaryen 

#HouseOfTheDragon https://t.co/CLGcqICMWq",2022-09-26 22:27:29+00:00,1455445872,0,
19,Now what underbite and that lightskin Twink gonna do? Bump purses on top the dragon? #HouseOfTheDragon,2022-09-26 22:27:23+00:00,1345393547718098946,0,
20,The show is going by so fast. It’s like they were on a rush to get to a specific part of the story. But it makes it hard for the audience to care about developments and characters. #HouseOfTheDragon,2022-09-26 22:26:57+00:00,4844047200,1,
21,"Aegon is very much giving Jeoffery Baratheon vibes 
#HouseOfTheDragon",2022-09-26 22:26:45+00:00,1401771667,0,
22,"Gonna make Joffrey, and Ramsey look like kittens. #HouseOfTheDragon #hotD #LarysStrong https://t.co/su5V11cemy",2022-09-26 22:26:45+00:00,940306912108613632,1,
23,I’d hoped Alicent &amp; Criston would’ve become lovers. She needs release. #HouseOfTheDragon,2022-09-26 22:26:34+00:00,1231584798445051904,0,
24,Viserys should have never married his daughters best friend WE WATCHING A DIFFERENT SHOW OFF THAT DECISION ALONE #HouseOfTheDragon,2022-09-26 22:26:33+00:00,1308883961305870342,0,
